iter	Passed	Remaining
531	1308	1150
532	1310	1148
533	1312	1145
534	1314	1142
535	1317	1140
536	1319	1137
537	1321	1134
538	1323	1131
539	1325	1129
540	1327	1126
541	1329	1123
542	1331	1120
543	1333	1118
544	1336	1115
545	1338	1112
546	1340	1110
547	1342	1107
548	1345	1105
549	1347	1102
550	1349	1100
551	1352	1097
552	1355	1095
553	1357	1093
554	1360	1090
555	1363	1088
556	1365	1086
557	1368	1083
558	1371	1081
559	1374	1079
560	1376	1077
561	1378	1074
562	1380	1071
563	1383	1069
564	1385	1066
565	1387	1064
566	1390	1062
567	1393	1059
568	1395	1056
569	1397	1054
570	1400	1052
571	1402	1049
572	1404	1046
573	1407	1044
574	1409	1042
575	1412	1040
576	1415	1038
577	1419	1036
578	1421	1033
579	1424	1031
580	1427	1029
581	1429	1026
582	1431	1024
583	1434	1021
584	1436	1019
585	1438	1016
586	1441	1014
587	1443	1011
588	1446	1009
589	1449	1007
590	1452	1004
591	1455	1002
592	1457	1000
593	1460	998
594	1463	995
595	1465	993
596	1467	990
597	1469	987
598	1471	985
599	1474	982
600	1476	980
601	1479	977
602	1481	975
603	1483	972
604	1485	969
605	1487	967
606	1489	964
607	1491	961
608	1493	959
609	1495	956
610	1498	953
611	1500	951
612	1501	948
613	1504	945
614	1506	942
615	1508	940
616	1510	937
617	1513	935
618	1515	932
619	1517	930
620	1519	927
621	1521	924
622	1523	921
623	1525	919
624	1527	916
625	1529	913
626	1531	910
627	1532	908
628	1535	905
629	1537	902
630	1539	900
631	1541	897
632	1543	894
633	1545	892
634	1547	889
635	1549	886
636	1551	883
637	1553	881
638	1555	878
639	1557	876
640	1559	873
641	1561	870
642	1564	868
643	1567	866
644	1569	864
645	1572	861
646	1574	858
647	1576	856
648	1578	853
649	1580	851
650	1583	848
651	1584	845
652	1586	843
653	1588	840
654	1590	837
655	1592	835
656	1595	832
657	1596	829
658	1599	827
659	1601	824
660	1603	822
661	1605	819
662	1606	816
663	1609	814
664	1611	811
665	1613	809
666	1615	806
667	1617	804
668	1619	801
669	1621	798
670	1623	796
671	1626	793
672	1628	791
673	1630	788
674	1632	785
675	1634	783
676	1636	780
677	1638	778
678	1640	775
679	1642	772
680	1644	770
681	1646	767
682	1648	765
683	1650	762
684	1652	759
685	1653	757
686	1655	754
687	1657	751
688	1659	749
689	1661	746
690	1664	744
691	1666	741
692	1668	738
693	1670	736
694	1672	733
695	1674	731
696	1676	728
697	1678	726
698	1680	723
699	1682	721
700	1684	718
701	1686	715
702	1688	713
703	1690	710
704	1693	708
705	1694	705
706	1696	702
707	1698	700
708	1700	697
709	1702	695
710	1704	692
711	1706	690
712	1708	687
713	1710	685
714	1712	682
715	1714	680
716	1717	678
717	1720	675
718	1723	673
719	1725	671
720	1728	668
721	1730	666
722	1733	664
723	1736	661
724	1738	659
725	1740	656
726	1742	654
727	1744	651
728	1747	649
729	1750	647
730	1752	644
731	1754	642
732	1757	640
733	1760	637
734	1763	635
735	1766	633
736	1768	631
737	1771	628
738	1774	626
739	1776	624
740	1780	622
741	1783	620
742	1786	617
743	1788	615
744	1791	613
745	1794	610
746	1796	608
747	1799	606
748	1801	603
749	1804	601
750	1807	599
751	1810	596
752	1812	594
753	1815	592
754	1818	590
755	1821	587
756	1823	585
757	1826	583
758	1829	580
759	1830	578
760	1833	575
761	1836	573
762	1838	571
763	1840	568
764	1843	566
765	1845	563
766	1847	561
767	1849	558
768	1852	556
769	1855	554
770	1857	551
771	1860	549
772	1863	547
773	1865	544
774	1868	542
775	1871	540
776	1875	538
777	1879	536
778	1882	533
779	1884	531
780	1887	529
781	1890	526
782	1893	524
783	1895	522
784	1898	520
785	1902	517
786	1905	515
787	1907	513
788	1911	511
789	1914	508
790	1917	506
791	1920	504
792	1923	501
793	1925	499
794	1929	497
795	1932	495
796	1936	493
797	1939	490
798	1942	488
799	1946	486
800	1949	484
801	1951	481
802	1953	479
803	1956	476
804	1959	474
805	1962	472
806	1965	470
807	1968	467
808	1970	465
809	1973	462
810	1976	460
811	1979	458
812	1981	455
813	1984	453
814	1987	451
815	1991	448
816	1993	446
817	1994	443
818	1997	441
819	1999	438
820	2001	436
821	2004	433
822	2006	431
823	2008	429
824	2010	426
825	2013	424
826	2015	421
827	2018	419
828	2021	417
829	2024	414
830	2026	412
831	2029	409
832	2031	407
833	2039	406
834	2043	403
835	2046	401
836	2049	399
837	2052	396
838	2055	394
839	2058	392
840	2061	389
841	2064	387
842	2067	385
843	2070	382
844	2073	380
845	2076	377
846	2078	375
847	2080	372
848	2083	370
849	2086	368
850	2089	365
851	2092	363
852	2096	361
853	2101	359
854	2103	356
855	2107	354
856	2111	352
857	2114	349
858	2117	347
859	2120	345
860	2123	342
861	2126	340
862	2129	338
863	2132	335
864	2134	333
865	2136	330
866	2139	328
867	2141	325
868	2144	323
869	2148	320
870	2150	318
871	2153	316
872	2155	313
873	2159	311
874	2162	308
875	2165	306
876	2168	304
877	2171	301
878	2174	299
879	2177	296
880	2180	294
881	2182	292
882	2185	289
883	2187	287
884	2190	284
885	2192	282
886	2195	279
887	2198	277
888	2201	274
889	2203	272
890	2205	269
891	2208	267
892	2210	264
893	2213	262
894	2215	259
895	2218	257
896	2221	255
897	2223	252
898	2226	250
899	2228	247
900	2230	245
901	2233	242
902	2236	240
903	2238	237
904	2240	235
905	2243	232
906	2245	230
907	2248	227
908	2251	225
909	2253	222
910	2255	220
911	2258	217
912	2260	215
913	2263	212
914	2265	210
915	2268	208
916	2270	205
917	2273	203
918	2275	200
919	2278	198
920	2280	195
921	2283	193
922	2286	190
923	2288	188
924	2291	185
925	2294	183
926	2296	180
927	2298	178
928	2300	175
929	2303	173
930	2305	170
931	2307	168
932	2310	165
933	2312	163
934	2315	160
935	2317	158
936	2319	155
937	2321	153
938	2324	151
939	2327	148
940	2329	146
941	2331	143
942	2333	141
943	2336	138
944	2339	136
945	2341	133
946	2344	131
947	2346	128
948	2349	126
949	2351	123
950	2354	121
951	2357	118
952	2359	116
953	2361	113
954	2364	111
955	2366	108
956	2369	106
957	2372	104
958	2375	101
959	2377	99
960	2379	96
961	2381	94
962	2384	91
963	2387	89
964	2389	86
965	2391	84
966	2393	81
967	2395	79
968	2397	76
969	2400	74
970	2402	71
971	2404	69
972	2406	66
973	2408	64
974	2410	61
975	2412	59
976	2415	56
977	2417	54
978	2419	51
979	2421	49
980	2423	46
981	2425	44
982	2427	41
983	2430	39
984	2432	37
985	2434	34
986	2436	32
987	2438	29
988	2440	27
989	2442	24
990	2444	22
991	2447	19
992	2449	17
993	2450	14
994	2452	12
995	2455	9
996	2457	7
997	2459	4
998	2462	2
999	2464	0
